Rank,Title,Artist,Album,Streams (In Millions),Publication Date
1,One Dance,Drake featuring WizKid and Kyla,Views ,1011,6-May-16
2,Lean On,Major Lazer and DJ Snake featuring M ,Peace Is the Mission ,909,1-Jun-15
3,Sorry,Justin Bieber,Purpose (Deluxe) ,828,13-Nov-15
4,Love Yourself,Justin Bieber,Purpose (Deluxe) ,782,13-Nov-15
5,Thinking Out Loud,Ed Sheeran,x (Deluxe Edition),770,21-Jun-14
6,What Do You Mean?,Justin Bieber,Purpose (Deluxe) ,750,13-Nov-15
8,Cheerleader,OMI,Me 4 U ,708,2-Dec-14"
9,Don't Let Me Down,The Chainsmokers featuring Daya,Collage EP ,694,5-Feb-16
10,Closer,The Chainsmokers featuring Halsey,Collage EP ,678,29-Jul-16
11,Uptown Funk,Mark Ronson featuring Bruno Mars,Uptown Special ,665,12-Jan-15
12,Can't Feel My Face,The Weeknd,Beauty Behind the Madness ,648,28-Aug-15
13,Hello,Adele,25 ,632,23-Oct-15
14,7 Years,Lukas Graham,Lukas Graham ,624,1-Apr-16
15,Stitches,Shawn Mendes,Handwritten ,623,14-Apr-15
16,Cheap Thrills,Sia,This Is Acting ,616,17-Dec-15
17,Take Me to Church,Hozier,Hozier ,611,29-Nov-13
18,Stressed Out,Twenty One Pilots,Blurryface ,603,28-Apr-15
19,Where Are  Now,Skrillex and Diplo featuring Justin Bieber,Skrillex and Diplo Present Jack ,600,24-Feb-15
20,See You Again,Wiz Khalifa featuring Charlie Puth,Furious 7: Original Motion Picture Soundtrack ,599,10-Mar-15
21,Work,Rihanna featuring Drake,ANTI (Deluxe) ,595,29-Jan-16
22,This Is What You Came For,Calvin Harris featuring Rihanna,This Is What You Came For ,585,29-Apr-16
23,Cold Water,Major Lazer featuring MØ and Justin Bieber,Cold Water ,580,22-Jul-16
24,Hotline Bling,Drake,Views ,575,31-Jul-15
25,Work from Home,Fifth Harmony featuring Ty Dolla $ign,7/27 (Deluxe) ,574,27-May-16
26,Sugar,Maroon 5,V ,565,10-Mar-15
27,Faded,Alan Walker,Faded ,559,4-Dec-15
28,Stay with Me,Sam Smith,In the Lonely Hour ,554,1-Jan-14
29,Chandelier,Sia,1000 Forms of Fear ,553,17-Mar-14
30,Light It Up,Major Lazer featuring Nyla and Fuse ODG,Peace Is the Mission (Extended) ,551,27-Nov-15
